,City,Latitude,Longitude,Humidity,Max Temp,Cloudiness,Wind Speed,Date
0,hobart,-42.8794,147.3294,47,59.0,20,11.5,1619424301
1,busselton,-33.65,115.3333,57,73.0,100,5.77,1619424298
2,marsa matruh,31.3525,27.2453,63,66.2,40,14.97,1619424128
3,ponta do sol,32.6667,-17.1,79,60.01,31,3.0,1619424317
4,fortuna,40.5982,-124.1573,100,46.99,90,4.14,1619424473
5,cape town,-33.9258,18.4232,82,64.0,20,14.97,1619424120
6,rikitea,-23.1203,-134.9692,77,77.14,9,8.21,1619424328
7,saskylakh,71.9167,114.0833,92,12.65,100,17.87,1619424452
8,ushuaia,-54.8,-68.3,91,41.11,100,3.76,1619424300
9,kruisfontein,-34.0033,24.7314,32,77.79,100,2.19,1619424406
10,atuona,-9.8,-139.0333,70,80.01,100,17.76,1619424333
11,ribeira grande,38.5167,-28.7,77,59.0,40,8.05,1619424335
12,antofagasta,-23.65,-70.4,77,57.2,0,4.61,1619424207
13,kapaa,22.0752,-159.319,78,73.4,75,17.27,1619424348
14,vaini,-21.2,-175.2,94,77.0,75,3.44,1619424295
15,mataura,-46.1927,168.8643,73,46.0,79,14.0,1619424327
16,bluff,-46.6,168.3333,73,46.0,85,14.0,1619424069
17,new norfolk,-42.7826,147.0587,76,57.0,98,1.01,1619424306
18,ovre ardal,61.3167,7.8,51,32.0,0,6.91,1619424734
19,qaanaaq,77.484,-69.3632,63,30.04,52,9.98,1619424310
20,albanel,48.8832,-72.4487,80,30.2,88,18.41,1619424734
21,homer,59.6425,-151.5483,65,44.01,1,1.99,1619424608
22,saint george,37.1041,-113.5841,22,66.99,1,9.22,1619424367
23,goma,-1.6792,29.2228,75,70.68,48,3.13,1619424735
24,butaritari,3.0707,172.7902,76,82.49,8,13.44,1619424327
25,kavieng,-2.5744,150.7967,72,82.9,95,4.16,1619424400
26,port alfred,-33.5906,26.891,40,79.92,100,9.15,1619424297
27,longyearbyen,78.2186,15.6401,53,19.4,20,5.75,1619424567
28,caluquembe,-13.7833,14.6833,50,68.05,70,5.35,1619424736
29,khatanga,71.9667,102.5,86,17.92,92,15.46,1619424339
30,chaves,33.3834,-104.4505,8,71.6,1,12.66,1619424737
31,el carrizo,24.0261,-106.8814,57,68.95,100,1.83,1619424737
32,georgetown,5.4112,100.3354,70,90.0,40,10.36,1619424167
33,albany,42.6001,-73.9662,56,39.99,54,4.0,1619424316
34,matara,5.9485,80.5353,65,86.85,24,8.12,1619424533
35,zheshart,62.0731,49.5733,72,38.7,100,3.94,1619424738
36,pascagoula,30.3658,-88.5561,93,54.0,1,7.29,1619424694
37,almaznyy,48.0448,40.045,93,46.4,75,15.66,1619424739
38,eldorado,-23.7869,-54.2836,94,59.77,20,4.99,1619424739
39,yingcheng,30.95,113.55,72,64.4,20,2.24,1619424740
40,tasiilaq,65.6145,-37.6368,70,39.2,75,20.71,1619424338
41,hobyo,5.3505,48.5268,54,87.64,41,10.09,1619424374
42,mercedes,-34.6515,-59.4307,99,48.0,90,4.09,1619424442
43,lagoa,39.05,-27.9833,85,58.82,100,6.6,1619424409
44,severo-kurilsk,50.6789,156.125,94,30.61,100,16.24,1619424368
45,ljungby,56.8332,13.9408,42,43.0,0,6.91,1619424741
46,san quintin,30.4833,-115.95,86,56.16,21,8.63,1619424742
47,awjilah,29.1081,21.2869,44,69.26,0,6.26,1619424742
48,hasaki,35.7333,140.8333,41,64.0,20,13.8,1619424342
49,avarua,-21.2078,-159.775,94,73.4,42,1.14,1619424468
50,margate,51.3813,1.3862,61,45.0,28,1.99,1619424743
51,hamilton,39.1834,-84.5333,93,44.01,1,3.04,1619424357
52,thatta,24.7475,67.9235,11,106.05,0,10.0,1619424743
53,acapulco,16.8634,-99.8901,71,79.32,100,4.34,1619424582
54,ternovskaya,45.8542,40.4086,82,48.0,100,7.49,1619424744
55,nichinan,31.6,131.3667,39,64.4,75,8.05,1619424744
56,cabo san lucas,22.8909,-109.9124,19,71.01,100,12.17,1619424197
57,moose factory,51.2585,-80.6094,86,15.8,1,2.3,1619424745
58,dikson,73.5069,80.5464,94,24.94,100,21.7,1619424364
59,buraydah,26.326,43.975,35,87.8,0,11.5,1619424745
60,ahipara,-35.1667,173.1667,77,58.17,100,5.64,1619424388
61,kautokeino,69.0125,23.0412,79,22.64,99,3.56,1619424746
62,kodiak,57.79,-152.4072,70,42.8,1,6.91,1619424311
63,phan thiet,10.9333,108.1,60,89.01,81,10.31,1619424747
64,takayama,36.1333,137.25,40,53.6,20,13.8,1619424747
65,ulaangom,49.9811,92.0667,51,42.46,12,3.83,1619424426
66,port elizabeth,-33.918,25.5701,77,68.0,0,3.44,1619424153
67,puerto ayora,-0.7393,-90.3518,91,73.72,7,4.88,1619424306
68,saint-philippe,-21.3585,55.7679,69,82.4,0,23.02,1619424352
69,sao joao da barra,-21.6403,-41.0511,93,71.64,63,3.94,1619424500
70,iqaluit,63.7506,-68.5145,93,32.0,90,1.48,1619424154
71,deputatskiy,69.3,139.9,89,26.83,88,2.57,1619424577
72,bengkulu,-3.8004,102.2655,78,83.14,87,7.27,1619424453
73,char bhadrasan,23.3167,90.2167,38,96.8,4,11.5,1619424749
74,thompson,55.7435,-97.8558,100,23.0,40,3.36,1619424315
75,hilo,19.7297,-155.09,83,71.6,75,6.42,1619424749
76,madang,-5.2246,145.7966,78,80.46,81,4.05,1619424750
77,mehamn,71.0357,27.8492,80,35.6,75,9.22,1619424750
78,carnarvon,-24.8667,113.6333,45,84.2,4,12.66,1619424345
79,severodvinsk,64.5635,39.8302,93,39.2,90,6.71,1619424751
80,pevek,69.7008,170.3133,84,25.34,100,5.57,1619424380
81,isoka,-10.1606,32.6335,70,72.01,77,4.16,1619424751
82,sokoni,-6.4333,39.55,83,84.2,20,11.5,1619424752
83,lebu,-37.6167,-73.65,93,52.77,8,8.99,1619424427
84,marathon,44.9,-89.7668,80,33.8,90,16.11,1619424752
85,vanavara,60.34,102.2797,57,33.06,100,12.35,1619424753
86,praia,14.9215,-23.5087,68,69.8,75,11.5,1619424753
87,necochea,-38.5473,-58.7368,95,53.01,0,0.81,1619424754
88,rio grande,-32.035,-52.0986,92,57.99,93,13.67,1619424357
89,tarauaca,-8.1614,-70.7656,99,70.9,100,3.56,1619424754
90,komsomolskiy,40.4272,71.7189,19,80.6,0,4.61,1619424539
91,namatanai,-3.6667,152.4333,77,81.1,67,4.38,1619424755
92,gazli,40.1333,63.45,7,87.93,0,19.71,1619424755
93,amapa,1.0,-52.0,99,70.41,100,0.76,1619424755
94,bontang,0.1333,117.5,69,84.15,21,5.3,1619424486
